   Meter ID  = 11602995
   Pulse output  = 1 (12)
   Type  = Water (0)
   Current Status  = OK (0)
   Readings received  = 173
   Time since last reading  = 446 minutes
   Time between readings  = 1440 minutes
   Logged Readings  =  
      Read 351 = 21156	Time: 1/16/2016 2:36
      Read 352 = 21146	Time: 1/15/2016 2:36
      Read 353 = 21125	Time: 1/14/2016 2:36
      Read 354 = 21108	Time: 1/13/2016 2:36
      Read 355 = 21100	Time: 1/12/2016 2:36
      Read 356 = 21078	Time: 1/11/2016 2:36
      Read 357 = 21072	Time: 1/10/2016 2:36
      Read 358 = 21068	Time: 1/9/2016 2:36
      Read 359 = 21040	Time: 1/8/2016 2:36
      Read 360 = 21026	Time: 1/7/2016 2:36
      Read 361 = 20997	Time: 1/6/2016 2:36
      Read 362 = 20975	Time: 1/5/2016 2:36
      Read 363 = 20970	Time: 1/4/2016 2:36
      Read 364 = 20942	Time: 1/3/2016 2:36
      Read 365 = 20919	Time: 1/2/2016 2:36
      Read 366 = 20912	Time: 1/1/2016 2:36
